rmag, phimag, dL, dS
0.00500448217164, 1.57079632679, 0+0j, 0+0j
0.00540847723182, -1.57079632679, 0+0j, 0+0j
0.00540847723182, -1.53906306766, 0+0j, 0+0j
0.00540847723182, -1.50732980854, -0.025869482365+0.0349751690616j, 0.0827893768565+1.21705221481j
0.00540847723182, -1.47559654941, -0.0293087751409+0.0109856783878j, 0.0203244696642+0.697630439282j
0.00540847723182, -1.44386329028, -0.0356940831018+0.0318623440688j, 0.0663546332448+0.455911655764j
0.00540847723182, -1.41213003115, -0.0382338026349+0.0514920407095j, 0.112492005759+0.270988314369j
0.00540847723182, -1.38039677203, -0.0332444825066+0.0601904939678j, 0.108651507126+0.25442000783j
0.00540847723182, -1.3486635129, -0.0262278775551+0.0658894832445j, 0.0929066730251+0.272949968562j
0.00540847723182, -1.31693025377, -0.0192112726035+0.0715884725212j, 0.0771618389245+0.291479929294j
0.00540847723182, -1.28519699465, -0.012194667652+0.0772874617979j, 0.0614170048239+0.310009890025j
0.00540847723182, -1.25346373552, -0.0051780627004+0.0829864510746j, 0.0456721707234+0.328539850757j
0.00540847723182, -1.22173047639, -0.00834849146205+0.0905904365054j, 0.0434667749222+0.306104026526j
0.00540847723182, -1.18999721727, -0.04475860813+0.0913535202087j, 0.0387273346334+0.33253417994j
0.00540847723182, -1.15826395814, -0.0710430502865+0.0933972826061j, 0.028737261802+0.353380543287j
0.00540847723182, -1.12653069901, -0.115702382525+0.0854313897655j, 0.0191523210152+0.370337171049j
0.00540847723182, -1.09479743988, -0.134040985318+0.0838962121359j, -0.146613964015+0.361131844412j
0.00540847723182, -1.06306418076, -0.118267209903+0.0923541346413j, -0.281521686029+0.249758574215j
0.00540847723182, -1.03133092163, -0.110498438708+0.0991599529508j, -0.393756324439+0.161050198214j
0.00540847723182, -0.999597662503, -0.110967384537+0.105717053599j, -0.350408529346+0.244514747087j
0.00540847723182, -0.967864403376, -0.11433532195+0.10829160462j, -0.270281926928+0.352437461363j
0.00540847723182, -0.936131144249, -0.116360133693+0.112547926805j, -0.252150572828+0.378544652347j
0.00540847723182, -0.904397885122, -0.11810325318+0.117156964991j, -0.247021413394+0.387492764378j
0.00540847723182, -0.872664625994, -0.119846372666+0.121766003177j, -0.24189225396+0.396440876409j
0.00540847723182, -0.840931366867, -0.121589492153+0.126375041363j, -0.236763094527+0.40538898844j
0.00540847723182, -0.80919810774, -0.12333261164+0.130984079549j, -0.231633935093+0.414337100471j
0.00540847723182, -0.777464848613, -0.125075731126+0.135593117734j, -0.22650477566+0.423285212502j
0.00540847723182, -0.745731589486, -0.126818850613+0.14020215592j, -0.221375616226+0.432233324533j
0.00540847723182, -0.713998330359, -0.128706567685+0.144847300601j, -0.232898734119+0.418927342948j
0.00540847723182, -0.682265071232, -0.130853055859+0.149133484066j, -0.239816737833+0.373881746434j
0.00540847723182, -0.650531812105, -0.133396967193+0.152634181318j, -0.229844053555+0.34120258916j
0.00540847723182, -0.618798552978, -0.135940878526+0.15613487857j, -0.219871369277+0.308523431886j
0.00540847723182, -0.587065293851, -0.137427067708+0.160554817903j, -0.207954987967+0.285216834753j
0.00540847723182, -0.555332034724, -0.139644149779+0.163953557354j, -0.197282953906+0.269758238799j
0.00540847723182, -0.523598775597, -0.141834615964+0.166865983109j, -0.187730816305+0.256733462533j
0.00540847723182, -0.49186551647, -0.143694014845+0.169737997739j, -0.179880388035+0.243397608962j
0.00540847723182, -0.460132257343, -0.145412013477+0.172697672166j, -0.172397998729+0.230184482228j
0.00540847723182, -0.428398998215, -0.146946407614+0.175771170529j, -0.165393498314+0.217130713059j
0.00540847723182, -0.396665739088, -0.14881972262+0.178265420567j, -0.158694317485+0.203952998708j
